"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
2808, 1.341746669500000e+00, 1.922862032800000e+00, 7.691113850500000e-02, 4.459236579060450e+00, -1.009827045052702e-02, 3.561319114991546e-01
2517, 1.366131471200000e+00, 1.966231567800000e+00, 8.642517833799999e-02, 4.421615375190497e+00, -8.534067819043223e-02, 4.045624827178602e-01
3229, 1.339052455800000e+00, 1.949813867900000e+00, 1.050912222700000e-01, 4.625043052157115e+00, 3.215146757428027e-01, 2.662179950323136e-01
2516, 1.356035934400000e+00, 1.968579087200000e+00, 1.006379116900000e-01, 4.608117571611848e+00, 2.876637146522683e-01, 3.708072556318320e-01
3230, 1.342014959600000e+00, 1.959891100700000e+00, 1.128124465900000e-01, 4.754254624410557e+00, 5.799378202496879e-01, 2.792489072607295e-01
9299, 1.376598757100000e+00, 1.963430891000000e+00, 7.458857786700000e-02, 4.320136832861353e+00, -2.882977628487211e-01, 4.147848664338987e-01
3558, 1.382794877100000e+00, 1.955317695400000e+00, 6.467916957600001e-02, 4.189094173275461e+00, -5.503830820205060e-01, 4.291686666795667e-01
3557, 1.374280482400000e+00, 1.940683266200000e+00, 6.211054075900000e-02, 4.228638830418386e+00, -4.712937677346556e-01, 4.308130225332635e-01
41, 1.918179521200000e+00, 2.776391555200000e+00, 1.685247736100000e-01, 4.516919759092210e+00, 1.052680896129932e-01, 4.121462804167754e-01
42, 1.919857044900000e+00, 2.791789652000000e+00, 1.781903445200000e-01, 4.343774556661185e+00, -2.410223152490563e-01, 3.752961617274272e-01
43, 1.931049634600000e+00, 2.789519368800000e+00, 1.667278650200000e-01, 4.208349940876324e+00, -5.118715468187798e-01, 4.357009798340691e-01
2778, 1.910024328600000e+00, 2.782397599400000e+00, 1.809134371900000e-01, 4.506276071167832e+00, 8.398071376423744e-02, 3.521903439696643e-01
9704, 1.929418783400000e+00, 2.777723413800000e+00, 1.608134227900000e-01, 4.377248806513959e+00, -1.740738155435100e-01, 4.209995735646334e-01
6738, 1.905682722400000e+00, 2.766986526800000e+00, 1.730082966200000e-01, 4.599522229060177e+00, 2.704730295489278e-01, 3.371432569950447e-01
6977, 1.913616747600000e+00, 2.760628228300000e+00, 1.620077198100000e-01, 4.537477193219956e+00, 1.463829578684859e-01, 3.851151842011761e-01
